,release_date,movie,production_budget_millions,domestic_gross_millions,worldwide_gross_millions,vote_average,vote_count,start_year,genres,directors_name,movie_profits_millions
322,16-Sep-05,Venom,25.0,0.881745,0.881745,4.3,6,2018,"Action,Sci-Fi,Thriller",Ruben Fleischer,-24.118255
328,26-Jul-13,The Wolverine,115.0,132.556852,416.456852,6.3,6176,2013,"Action,Adventure,Sci-Fi",James Mangold,301.456852
329,25-Dec-10,Gulliver's Travels,112.0,42.779261,232.017848,5.1,1282,2010,"Adventure,Comedy,Family",Rob Letterman,120.01784799999999
330,15-Dec-17,Ferdinand,111.0,84.41038,289.84793,7.1,1425,2017,"Adventure,Animation,Comedy",Carlos Saldanha,178.84793000000002
331,18-May-18,Deadpool 2,110.0,324.591735,786.680557,7.5,8773,2018,"Action,Adventure,Comedy",David Leitch,676.680557
332,4-Oct-13,Gravity,110.0,274.092705,693.698673,7.2,9586,2013,"Drama,Sci-Fi,Thriller",Alfonso Cuarón,583.698673
333,29-May-15,San Andreas,110.0,155.190832,456.258539,6.1,5125,2015,"Action,Adventure,Drama",Brad Peyton,346.258539
334,29-Jul-11,The Smurfs,110.0,142.614158,563.749323,5.6,2112,2011,"Adventure,Animation,Comedy",Raja Gosnell,453.749323
335,7-Mar-14,300: Rise of an Empire,110.0,106.580051,330.780051,6.0,3870,2014,"Action,Fantasy,War",Noam Murro,220.78005100000001
336,21-Dec-16,Passengers,110.0,100.014699,302.239672,6.8,7869,2016,"Drama,Romance,Sci-Fi",Morten Tyldum,192.23967199999998
337,14-Jan-11,The Green Hornet,110.0,98.780042,229.155503,5.5,1897,2011,"Action,Comedy,Crime",Michel Gondry,119.15550300000001
338,7-Oct-11,Real Steel,110.0,85.463309,263.880341,6.8,4566,2011,"Action,Drama,Family",Shawn Levy,153.880341
339,11-Jun-10,The A-Team,110.0,77.222099,177.241171,6.3,2703,2010,"Action,Adventure,Thriller",Joe Carnahan,67.24117100000001
340,31-Jul-13,The Smurfs 2,110.0,71.017784,348.547523,5.7,1200,2013,"Adventure,Animation,Comedy",Raja Gosnell,238.547523
341,1-Nov-13,Ender's Game,110.0,61.737191,127.983283,6.6,3558,2013,"Action,Adventure,Fantasy",Gavin Hood,17.983283
342,31-Mar-17,Ghost in the Shell,110.0,40.563557,167.91069,6.0,5128,2017,"Action,Drama,Sci-Fi",Rupert Sanders,57.91068999999999
343,2-Oct-15,The Martian,108.0,228.433663,655.271443,7.7,12172,2015,"Adventure,Drama,Sci-Fi",Ridley Scott,547.271443
344,23-Nov-16,Allied,106.0,40.098064,119.266661,6.7,2765,2016,"Action,Drama,Romance",Robert Zemeckis,13.266661
345,22-Sep-17,Kingsman: The Golden Circle,104.0,100.234838,408.803696,7.0,5531,2017,"Action,Adventure,Comedy",Matthew Vaughn,304.803696
