,release_date,movie,production_budget_millions,domestic_gross_millions,worldwide_gross_millions,vote_average,vote_count,start_year,genres,directors_name,movie_profits_millions
635,9-Apr-10,Date Night,55.0,98.711404,152.269033,6.0,1743,2010,"Comedy,Crime,Romance",Shawn Levy,97.26903300000001
636,16-Jan-15,Paddington,55.0,76.223578,258.789097,7.0,1904,2014,"Adventure,Comedy,Family",Paul King,203.78909700000003
637,1-Nov-13,Free Birds,55.0,55.75048,110.387072,5.8,410,2013,"Adventure,Animation,Comedy",Jimmy Hayward,55.387072
638,21-Mar-14,Muppets Most Wanted,55.0,51.178893,79.312301,6.2,473,2014,"Adventure,Comedy,Crime",James Bobin,24.312301000000005
639,19-Aug-16,Kubo and the Two Strings,55.0,48.023088,77.548122,7.7,2029,2016,"Action,Adventure,Animation",Travis Knight,22.548122000000006
640,24-Nov-10,Burlesque,55.0,39.440655,90.552675,7.1,1195,2010,"Drama,Music,Musical",Steve Antin,35.552674999999994
641,27-Jul-12,The Watch,55.0,34.353,67.130045,5.4,1356,2012,"Action,Comedy,Horror",Akiva Schaffer,12.130044999999996
642,14-Mar-03,The Hunted,55.0,34.234008,47.213095,5.2,10,2015,"Action,Comedy,Horror",Robert Chapin,-7.786904999999997
646,23-Feb-18,Annihilation,55.0,32.732301,43.070915,6.3,4465,2018,"Adventure,Drama,Horror",Alex Garland,-11.929085
647,16-Oct-15,Crimson Peak,55.0,31.09032,74.966854,6.5,2986,2015,"Drama,Fantasy,Horror",Guillermo del Toro,19.966853999999998
648,10-Jan-97,Turbulence,55.0,11.532774,11.532774,5.6,5,2011,Comedy,Michael B. Clifford,-43.467226
652,1-Feb-13,Bullet to the Head,55.0,9.489829,22.597969,5.4,681,2012,"Action,Crime,Thriller",Walter Hill,-32.402031
653,18-Sep-15,Black Mass,53.0,62.575678,98.837872,6.4,2020,2015,"Biography,Crime,Drama",Scott Cooper,45.837872000000004
655,16-Oct-98,Beloved,53.0,22.852487,22.852487,6.7,31,2010,Comedy,Guel Arraes,-30.147513
659,19-Dec-12,Zero Dark Thirty,52.5,95.720716,134.612435,6.9,2553,2012,"Drama,Thriller",Kathryn Bigelow,82.112435
660,12-Feb-10,Valentine's Day,52.0,110.485654,217.569328,5.8,1907,2010,"Comedy,Romance",Garry Marshall,165.569328
661,5-Aug-11,The Change-Up,52.0,37.243418,75.997067,6.0,1406,2011,"Comedy,Fantasy",David Dobkin,23.997067
662,17-Aug-18,Alpha,51.0,35.851379,99.624873,7.0,1,2013,Crime,Joan Cutrina,48.624872999999994
670,4-Mar-11,The Adjustment Bureau,50.2,62.495645,126.931325,6.6,2615,2011,"Romance,Sci-Fi,Thriller",George Nolfi,76.731325
671,29-Jun-12,Ted,50.0,218.66574,556.016627,6.3,7727,2012,"Comedy,Fantasy",Seth MacFarlane,506.01662699999997
672,17-Jun-16,Central Intelligence,50.0,127.440871,217.194805,6.3,3133,2016,"Action,Comedy,Crime",Rawson Marshall Thurber,167.194805
673,18-Dec-13,Anchorman 2: The Legend Continues,50.0,127.352707,172.185754,6.1,1408,2013,Comedy,Adam McKay,122.185754
674,10-Jun-11,Super 8,50.0,127.004179,257.972745,6.7,3934,2011,"Mystery,Sci-Fi,Thriller",J.J. Abrams,207.97274499999997
675,21-Nov-18,Creed II,50.0,115.715889,213.591522,6.7,2236,2018,"Drama,Sport",Steven Caple Jr.,163.591522
676,9-Feb-18,Peter Rabbit,50.0,115.234093,347.136477,6.5,650,2018,"Adventure,Animation,Comedy",Will Gluck,297.136477
677,14-Dec-18,The Mule,50.0,103.804407,170.857676,6.4,77,2018,"Crime,Drama,Thriller",Clint Eastwood,120.857676
679,28-Feb-14,Non-Stop,50.0,91.74216,222.383055,5.6,23,2014,"Action,Mystery,Thriller",Jaume Collet-Serra,172.383055
681,28-Jul-17,The Emoji Movie,50.0,86.089513,216.562312,5.4,1447,2017,"Adventure,Animation,Comedy",Tony Leondis,166.562312
682,22-Dec-17,The Post,50.0,81.903458,179.74888,7.0,2506,2017,"Biography,Drama,History",Steven Spielberg,129.74888
683,5-Feb-99,Payback,50.0,81.526121,161.626121,5.0,1,2012,Documentary,Jennifer Baichwal,111.62612100000001
687,23-Dec-11,We Bought a Zoo,50.0,75.62455,118.729073,6.7,1523,2011,"Comedy,Drama,Family",Cameron Crowe,68.729073
688,23-Sep-11,Moneyball,50.0,75.605492,111.300835,7.1,2255,2011,"Biography,Drama,Sport",Bennett Miller,61.300835000000006
689,25-Jan-13,Hansel & Gretel: Witch Hunters,50.0,55.703475,214.949716,5.9,4548,2013,"Action,Fantasy,Horror",Tommy Wirkola,164.949716
690,29-Sep-17,American Made,50.0,51.342,135.569212,6.7,2188,2017,"Action,Biography,Comedy",Doug Liman,85.569212
691,17-Oct-14,The Book of Life,50.0,50.151543,97.651543,7.4,1228,2014,"Adventure,Animation,Comedy",Jorge R. Gutiérrez,47.651543000000004
694,8-Aug-14,Into the Storm,50.0,47.602194,150.429371,5.8,1169,2019,Documentary,Carol Fauls,100.429371
696,10-Oct-14,The Judge,50.0,47.119388,76.119388,7.3,2356,2014,"Crime,Drama",David Dobkin,26.119388
700,19-Aug-16,War Dogs,50.0,43.034523,86.234503,6.8,2387,2016,"Comedy,Crime,Drama",Todd Phillips,36.234503000000004
701,20-May-16,The Nice Guys,50.0,36.261763,59.596747,7.1,4272,2016,"Action,Comedy,Crime",Shane Black,9.596747
702,4-Jun-10,Marmaduke,50.0,33.644788,89.89593,5.1,367,2010,"Comedy,Family",Tom Dey,39.89593000000001
703,15-Oct-10,Hereafter,50.0,32.746941,108.66027,5.9,848,2010,"Drama,Fantasy,Romance",Clint Eastwood,58.66027
704,6-Oct-95,Assassins,50.0,30.306268,83.306268,6.2,666,2014,"Action,Drama,Thriller",Michael Bonomo,33.306268
706,12-Feb-16,Zoolander 2,50.0,28.848693,55.348693,4.7,1374,2016,Comedy,Ben Stiller,5.348692999999997
707,29-Mar-13,The Host,50.0,26.623701,64.477051,6.2,2788,2013,"Action,Adventure,Drama",Andrew Niccol,14.477051000000003
709,13-Mar-15,Run All Night,50.0,26.461644,66.961644,6.4,1684,2015,"Action,Drama,Thriller",Jaume Collet-Serra,16.961644000000007
710,8-Apr-11,Your Highness,50.0,21.596445,26.121638,3.0,4,2011,"Adventure,Comedy,Fantasy",David Gordon Green,-23.878362
712,16-Sep-16,Snowden,50.0,21.587519,35.380918,7.1,2427,2016,"Biography,Drama,Thriller",Oliver Stone,-14.619081999999999
713,30-Sep-11,Dream House,50.0,21.30234,41.642166,6.0,670,2019,"Comedy,Drama,Romance",Jeff Bemiss,-8.357833999999997
715,24-Jun-16,Free State of Jones,50.0,20.810036,23.237252,6.6,787,2016,"Action,Biography,Drama",Gary Ross,-26.762748
716,14-Feb-13,Beautiful Creatures,50.0,19.452138,60.282876,5.7,1826,2013,"Drama,Fantasy,Romance",Richard LaGravenese,10.282876000000002
717,3-Nov-95,Fair Game,50.0,11.497497,26.097497,6.6,384,2010,"Biography,Drama,Thriller",Doug Liman,-23.902503
719,25-Feb-11,Drive Angry,50.0,10.721033,41.042583,5.3,959,2011,"Action,Fantasy,Thriller",Patrick Lussier,-8.957417
720,16-Feb-18,Early Man,50.0,8.267544,45.28589,5.9,338,2018,"Adventure,Animation,Comedy",Nick Park,-4.714109999999998
721,17-Apr-15,Child 44,50.0,1.22433,8.004221,6.2,903,2015,"Crime,Drama,History",Daniel Espinosa,-41.995779
722,15-Mar-13,Upside Down,50.0,0.102118,26.387039,6.2,1645,2012,"Drama,Fantasy,Romance",Juan Solanas,-23.612961
726,2-Oct-15,Shanghai,50.0,0.046425,15.505922,6.1,80,2010,"Crime,Drama,Mystery",Mikael Håfström,-34.494078
728,2-Nov-01,The One,49.0,43.905746,72.689126,5.5,5,2020,Horror,Sarah Martin,23.689126
734,6-Mar-15,Chappie,49.0,31.569268,105.002056,6.7,4995,2015,"Action,Crime,Drama",Neill Blomkamp,56.002055999999996
735,16-Nov-12,Anna Karenina,49.0,12.816367,71.004627,6.7,1265,2012,"Drama,Romance",Joe Wright,22.004627
736,9-Jan-15,Taken 3,48.0,89.256424,327.656424,6.1,3406,2014,"Action,Thriller",Olivier Megaton,279.656424
737,16-Nov-18,Instant Family,48.0,67.363237,119.736188,7.6,782,2018,"Comedy,Drama",Sean Anders,71.736188
738,22-Jan-10,Tooth Fairy,48.0,60.022256,112.610386,5.3,1058,2010,"Comedy,Family,Fantasy",Michael Lembeck,64.610386
740,13-Jul-16,The Infiltrator,47.5,15.436808,20.718104,6.6,943,2016,"Biography,Crime,Drama",Brad Furman,-26.781896
741,11-Nov-16,Arrival,47.0,100.546139,203.127894,7.4,10387,2016,"Drama,Mystery,Sci-Fi",Denis Villeneuve,156.127894
743,18-Jun-10,Jonah Hex,47.0,10.547117,11.022696,4.6,708,2010,"Action,Drama,Fantasy",Jimmy Hayward,-35.977304000000004
744,23-Dec-16,Silence,46.5,7.100177,23.726626,7.1,1560,2016,"Adventure,Drama,History",Martin Scorsese,-22.773374
751,20-Jun-97,My Best Friend's Wedding,46.0,126.813153,298.923419,7.0,2,2016,"Comedy,Romance",Feihong Chen,252.92341900000002
752,24-May-02,Insomnia,46.0,67.263182,113.622499,10.0,1,2015,Drama,Milena Partheniou,67.622499
753,20-Sep-13,Prisoners,46.0,61.002302,113.402302,8.0,5785,2013,"Crime,Drama,Mystery",Denis Villeneuve,67.402302
754,5-Oct-12,Taken 2,45.0,139.854287,377.807404,6.2,4035,2012,"Action,Thriller",Olivier Megaton,332.807404
755,22-Dec-17,Pitch Perfect 3,45.0,104.89753,185.736412,6.5,1884,2017,"Comedy,Music",Trish Sie,140.736412
756,23-Nov-11,The Muppets,45.0,88.625922,160.971922,6.6,831,2011,"Adventure,Comedy,Family",James Bobin,115.971922
757,7-Oct-16,The Girl on the Train,45.0,75.395035,174.278214,5.9,25,2013,Thriller,Larry Brand,129.278214
763,19-Mar-10,The Bounty Hunter,45.0,67.061228,135.808837,5.7,1627,2010,"Action,Comedy,Romance",Andy Tennant,90.80883700000001
764,6-Jul-12,Savages,45.0,47.3231,82.51349,6.3,1246,2012,"Crime,Drama,Thriller",Oliver Stone,37.513490000000004
765,23-May-14,Blended,45.0,46.290741,127.990741,6.7,1709,2014,"Comedy,Romance",Frank Coraci,82.990741
766,16-Jun-17,All Eyez on Me,45.0,44.922302,54.876855,6.4,695,2017,"Biography,Drama,Music",Benny Boom,9.876854999999999
767,4-Nov-94,Frankenstein,45.0,22.006296,112.006296,5.8,51,2011,Drama,Danny Boyle,67.006296
769,19-Jan-01,The Pledge,45.0,19.71993,29.406132,6.0,1,2011,"Drama,Family",J.W. Myers,-15.593868
770,1-Jul-05,Rebound,45.0,16.809014,17.492014,3.4,7,2014,"Horror,Mystery,Thriller",Megan Freels Johnston,-27.507986
771,19-Feb-10,The Ghost Writer,45.0,15.541549,65.532491,6.8,1135,2010,"Drama,Mystery,Thriller",Roman Polanski,20.532490999999993
772,21-Sep-12,Dredd,45.0,13.414714,41.467606,6.7,2788,2012,"Action,Crime,Sci-Fi",Pete Travis,-3.5323939999999965
773,28-Oct-11,The Rum Diary,45.0,13.109815,21.544732,5.7,652,2011,"Comedy,Drama",Bruce Robinson,-23.455268
774,21-Dec-18,Welcome to Marwen,45.0,10.76352,12.874922,6.6,286,2018,"Biography,Comedy,Drama",Robert Zemeckis,-32.125078
775,21-Oct-11,Johnny English Reborn,45.0,8.406711,164.640401,6.1,1810,2011,"Action,Adventure,Comedy",Oliver Parker,119.640401
776,31-Dec-12,Foodfight!,45.0,0.0,0.073706,2.1,46,2012,"Action,Animation,Comedy",Lawrence Kasanoff,-44.926294
777,12-Oct-12,Argo,44.5,136.025503,227.140757,7.2,5127,2012,"Biography,Drama,Thriller",Ben Affleck,182.640757
778,30-Jul-10,Charlie St. Cloud,44.0,31.206263,48.478084,6.9,1398,2010,"Drama,Fantasy,Romance",Burr Steers,4.478084000000003
779,6-Feb-14,The Interview,44.0,6.105175,12.342632,6.2,3579,2011,Drama,Cathal Feeney,-31.657367999999998
781,28-Jun-13,The Heat,43.0,159.581587,229.727774,6.6,2441,2013,"Action,Comedy,Crime",Paul Feig,186.727774
782,6-Jan-17,A Monster Calls,43.0,3.740823,46.41453,7.1,1918,2016,"Animation,Drama,Fantasy",J.A. Bayona,3.414529999999999
783,28-Jan-11,The Mechanic,42.5,29.121498,76.347393,6.3,1676,2011,"Action,Crime,Thriller",Simon West,33.847393
784,12-May-17,Snatched,42.0,45.852178,57.852177,3.5,2,2016,Drama,Kevin Crouch,15.852176999999998
790,12-Oct-12,Here Comes the Boom,42.0,45.290318,73.239258,6.0,812,2012,"Action,Comedy,Sport",Frank Coraci,31.239258000000007
791,11-Mar-11,Red Riding Hood,42.0,37.662162,91.678442,5.9,1884,2011,"Fantasy,Horror,Mystery",Catherine Hardwicke,49.678442000000004
792,25-Dec-18,Holmes & Watson,42.0,30.568743,41.926605,4.1,217,2018,"Adventure,Comedy,Crime",Etan Cohen,-0.07339499999999788
793,27-Jan-12,One for the Money,42.0,26.414527,36.197221,5.5,615,2012,"Action,Comedy,Crime",Julie Anne Robinson,-5.802779000000001
794,2-Oct-92,Hero,42.0,19.487173,66.787173,9.0,1,2019,Action,Anand Annamalai,24.787172999999996
806,27-Jan-12,Man on a Ledge,42.0,18.62,49.62144,6.3,1460,2012,"Action,Adventure,Crime",Asger Leth,7.62144
807,3-Dec-10,The Warrior's Way,42.0,5.66634,8.514325,6.1,203,2010,"Action,Fantasy,Western",Sngmoo Lee,-33.485675
808,14-Oct-11,The Big Year,41.0,7.204138,7.684524,5.8,393,2011,Comedy,David Frankel,-33.315476000000004
809,11-Jun-10,The Karate Kid,40.0,176.591618,351.774938,6.3,3140,2010,"Action,Drama,Family",Harald Zwart,311.774938
810,22-Jun-84,The Karate Kid,8.0,90.815558,90.815558,6.3,3140,2010,"Action,Drama,Family",Harald Zwart,82.815558
811,13-Feb-15,Fifty Shades of Grey,40.0,166.16723,570.998101,5.4,6451,2015,"Drama,Romance,Thriller",Sam Taylor-Johnson,530.998101
812,13-Dec-13,American Hustle,40.0,150.117807,257.878294,6.8,4443,2013,"Crime,Drama",David O. Russell,217.87829399999998
813,25-Jul-14,Lucy,40.0,126.57396,457.507776,6.3,10019,2014,"Action,Sci-Fi,Thriller",Luc Besson,417.507776
815,25-Dec-13,Lone Survivor,40.0,125.095601,149.804632,7.4,2289,2013,"Action,Biography,Drama",Peter Berg,109.804632
816,1-Oct-10,The Social Network,40.0,96.962694,224.922135,7.2,6116,2010,"Biography,Drama",David Fincher,184.922135
817,15-Jan-16,Ride Along 2,40.0,90.862685,124.827316,6.2,939,2016,"Action,Comedy,Crime",Tim Story,84.827316
818,27-Mar-15,Get Hard,40.0,90.411453,106.511453,6.0,1469,2015,"Comedy,Crime",Etan Cohen,66.511453
820,14-Oct-16,The Accountant,40.0,86.260045,152.962083,6.9,3407,2016,"Action,Crime,Drama",Gavin O'Connor,112.962083
821,25-Apr-14,The Other Woman,40.0,83.911193,195.111193,6.2,220,2014,"Comedy,Romance",Nick Cassavetes,155.111193
824,25-Sep-15,The Intern,40.0,75.764672,197.11571,7.1,3373,2015,"Comedy,Drama",Nancy Meyers,157.11571
825,16-Oct-15,Bridge of Spies,40.0,72.313754,162.498338,7.2,4313,2015,"Drama,History,Thriller",Steven Spielberg,122.49833799999999
826,4-Nov-16,Hacksaw Ridge,40.0,67.209615,168.904682,8.1,6608,2016,"Biography,Drama,History",Mel Gibson,128.904682
827,18-Feb-11,Unknown,40.0,63.686397,136.123083,6.6,2043,2011,"Action,Mystery,Thriller",Jaume Collet-Serra,96.12308300000001
828,3-Nov-06,Unknown,3.7,0.026403,3.355048,6.6,2043,2011,"Action,Mystery,Thriller",Jaume Collet-Serra,-0.34495200000000015
831,4-Jun-10,Get Him to the Greek,40.0,61.153526,91.455875,5.9,980,2010,"Adventure,Comedy,Music",Nicholas Stoller,51.455875000000006
832,18-Mar-11,The Lincoln Lawyer,40.0,58.0092,87.145086,7.1,1525,2011,"Crime,Drama,Thriller",Brad Furman,47.145086000000006
833,26-Nov-14,Horrible Bosses 2,40.0,54.445357,105.945357,6.2,2581,2014,"Comedy,Crime",Sean Anders,65.945357
834,9-Jul-10,Predators,40.0,52.000688,127.234389,6.1,1979,2010,"Action,Adventure,Sci-Fi",Nimród Antal,87.234389
835,15-Aug-12,The Odd Life of Timothy Green,40.0,51.85345,55.249159,6.7,605,2012,"Comedy,Drama,Family",Peter Hedges,15.249158999999999
836,20-Jun-14,Jersey Boys,40.0,47.047013,65.282732,6.9,380,2014,"Biography,Drama,Music",Clint Eastwood,25.282731999999996
837,12-Aug-11,Final Destination 5,40.0,42.587643,155.011165,6.0,1701,2011,Horror,Steven Quale,115.011165
838,16-Nov-18,Widows,40.0,42.402632,73.866088,6.5,941,2011,"Comedy,Drama",Marcos Carnevale,33.866088000000005
840,18-Jul-14,Sex Tape,40.0,38.543473,126.069509,5.3,2684,2014,"Comedy,Romance",Jake Kasdan,86.069509
841,15-Apr-11,Scream 4,40.0,38.180928,95.98959,6.2,1610,2011,"Horror,Mystery",Wes Craven,55.98959000000001
842,18-Mar-11,Paul,40.0,37.412945,101.162106,6.5,3017,2011,"Adventure,Comedy,Sci-Fi",Greg Mottola,61.162105999999994
844,19-Dec-12,The Guilt Trip,40.0,37.134215,41.294674,5.4,403,2012,"Comedy,Drama",Anne Fletcher,1.2946740000000005
845,26-Aug-11,Colombiana,40.0,36.665854,72.295262,6.5,1371,2011,"Action,Drama,Thriller",Olivier Megaton,32.295261999999994
846,12-Jan-18,The Commuter,40.0,36.343858,101.985431,6.2,2394,2018,"Action,Mystery,Thriller",Jaume Collet-Serra,61.985431000000005
847,8-Apr-11,Arthur,40.0,33.035397,47.787943,5.5,399,2011,"Comedy,Romance",Jason Winer,7.7879429999999985
848,21-Dec-16,Patriots Day,40.0,31.886361,52.837989,6.9,1337,2016,"Action,Crime,Drama",Peter Berg,12.837989
849,10-Nov-10,Morning Glory,40.0,31.011732,59.79507,6.3,717,2010,"Comedy,Drama,Romance",Roger Michell,19.795070000000003
850,3-May-19,Long Shot,40.0,30.20286,43.711031,7.2,39,2019,"Comedy,Romance",Jonathan Levine,3.7110309999999984
851,25-Dec-13,Grudge Match,40.0,29.80726,69.80726,6.0,711,2013,"Comedy,Drama,Sport",Peter Segal,29.80726
852,11-Aug-17,The Nut Job 2: Nutty by Nature,40.0,28.370522,57.438389,5.7,227,2017,"Adventure,Animation,Comedy",Cal Brunker,17.438389
853,27-Jan-17,Resident Evil: The Final Chapter,40.0,26.844692,314.10119,5.9,1859,2016,"Action,Horror,Sci-Fi",Paul W.S. Anderson,274.10119
854,30-Jun-17,The House,40.0,25.584504,31.192425,5.7,474,2011,"Drama,Mystery,Thriller",Desiree Lim,-8.807575
859,7-Jan-11,Season of the Witch,40.0,24.827228,91.1266,5.3,1352,2011,"Action,Adventure,Fantasy",Dominic Sena,51.126599999999996
860,26-Aug-16,Mechanic: Resurrection,40.0,21.218403,109.73884,5.6,1929,2016,"Action,Adventure,Thriller",Dennis Gansel,69.73884
861,3-Feb-12,Big Miracle,40.0,20.1573,25.26868,6.6,250,2012,"Biography,Drama,Family",Ken Kwapis,-14.73132
862,21-Dec-12,The Impossible,40.0,19.019882,169.590606,7.2,3614,2012,"Drama,History,Thriller",J.A. Bayona,129.590606
863,9-Mar-12,A Thousand Words,40.0,18.450127,20.790486,6.1,685,2012,"Comedy,Drama",Brian Robbins,-19.209514
864,20-Mar-15,The Gunman,40.0,10.664749,18.594227,5.7,583,2015,"Action,Crime,Drama",Pierre Morel,-21.405773
866,16-Aug-13,Paranoia,40.0,7.388654,16.340767,4.5,2,2013,"Drama,Thriller",Robert Luketic,-23.659233
884,9-Mar-18,The Hurricane Heist,40.0,6.115824,30.963684,5.4,476,2018,"Action,Adventure,Crime",Rob Cohen,-9.036316
885,25-Nov-15,Victor Frankenstein,40.0,5.775076,31.124367,5.8,1200,2015,"Drama,Horror,Sci-Fi",Paul McGuigan,-8.875633
886,27-Jun-14,Snowpiercer,40.0,4.563029,88.06988,6.8,4748,2013,"Action,Drama,Sci-Fi",Joon-ho Bong,48.06988
887,11-Nov-16,USS Indianapolis: Men of Courage,40.0,0.0,1.663785,5.9,328,2016,"Action,Drama,History",Mario Van Peebles,-38.336215
888,5-Oct-12,Frankenweenie,39.0,35.287788,81.150788,6.8,1685,2012,"Animation,Comedy,Family",Tim Burton,42.150788000000006
889,2-Jun-17,Captain Underpants: The First Epic Movie,38.0,73.921,126.577874,6.0,587,2017,"Action,Animation,Comedy",David Soren,88.577874
890,17-Apr-15,Paul Blart: Mall Cop 2,38.0,71.091594,107.650646,5.0,900,2015,"Action,Comedy,Crime",Andy Fickman,69.650646
891,23-Dec-16,Why Him?,38.0,60.323786,117.425156,6.2,2494,2016,Comedy,John Hamburg,79.425156
892,22-Apr-11,Water for Elephants,38.0,58.709717,116.809717,6.9,1627,2011,"Drama,Romance",Francis Lawrence,78.809717
893,6-Sep-13,Riddick,38.0,42.025135,94.763758,6.2,2852,2013,"Action,Adventure,Sci-Fi",David Twohy,56.763757999999996
894,24-May-02,Enough,38.0,39.177215,50.97066,8.7,3,2013,"Drama,History",Ockert Potgieter,12.970660000000002
896,22-Jan-16,The 5th Wave,38.0,34.912982,111.336398,5.8,3657,2016,"Action,Adventure,Drama",J Blakeson,73.336398
897,20-Sep-13,Rush,38.0,26.947624,98.230839,7.7,3877,2013,"Action,Biography,Drama",Ron Howard,60.230839
901,20-Oct-17,Only the Brave,38.0,18.340051,24.555177,7.0,603,2017,"Action,Biography,Drama",Joseph Kosinski,-13.444823
902,14-Oct-11,The Thing,38.0,16.999934,27.573078,6.1,1404,2011,"Horror,Mystery,Sci-Fi",Matthijs van Heijningen Jr.,-10.426922000000001
904,21-Sep-18,The Sisters Brothers,38.0,3.143056,13.143056,7.0,590,2018,"Adventure,Comedy,Crime",Jacques Audiard,-24.856944
905,11-Jan-19,The Upside,37.5,108.235497,119.024536,7.3,274,2017,"Comedy,Drama",Neil Burger,81.524536
906,18-May-12,What to Expect When You're Expecting,37.5,41.152203,88.473016,5.9,1130,2012,"Comedy,Drama,Romance",Kirk Jones,50.973016
907,14-Sep-12,The Master,37.5,16.247159,50.647416,7.1,1323,2012,Drama,Paul Thomas Anderson,13.147416
911,7-Aug-13,We're the Millers,37.0,150.394119,267.816276,6.8,5231,2013,"Comedy,Crime",Rawson Marshall Thurber,230.81627600000002
912,25-Nov-15,Creed,37.0,109.767581,173.567581,7.3,4010,2015,"Drama,Sport",Ryan Coogler,136.567581
914,17-Sep-10,The Town,37.0,92.186262,152.566881,7.1,2386,2010,"Crime,Drama,Thriller",Ben Affleck,115.566881
916,23-Sep-11,Dolphin Tale,37.0,72.286779,96.068724,6.8,327,2011,"Drama,Family",Charles Martin Smith,59.068724
917,26-Feb-10,Cop Out,37.0,44.875481,55.90991,5.4,796,2010,"Action,Comedy,Crime",Kevin Smith,18.909910000000004
918,28-Jan-11,The Rite,37.0,33.047633,97.143987,5.9,994,2011,"Drama,Horror,Mystery",Mikael Håfström,60.143986999999996
919,29-May-15,Aloha,37.0,21.05203,25.387091,5.3,1226,2015,"Comedy,Drama,Romance",Cameron Crowe,-11.612908999999998
920,26-Mar-10,Hot Tub Time Machine,36.0,50.269859,65.96775,6.0,1383,2010,"Comedy,Sci-Fi",Steve Pink,29.967749999999995
921,12-Sep-14,Dolphin Tale 2,36.0,42.024533,57.824533,6.7,173,2014,"Drama,Family",Charles Martin Smith,21.824533000000002
922,16-Dec-16,Collateral Beauty,36.0,31.016021,85.309093,7.2,3270,2016,"Drama,Romance",David Frankel,49.309093000000004
923,6-May-11,There Be Dragons,36.0,1.069334,4.02099,5.1,93,2011,"Biography,Drama,War",Roland Joffé,-31.97901
924,14-Apr-17,Queen of the Desert,36.0,0.0,1.578543,6.0,136,2015,"Adventure,Biography,Drama",Werner Herzog,-34.421457
925,8-Sep-17,It,35.0,327.481748,697.457969,7.2,10931,2017,"Horror,Thriller",Andy Muschietti,662.457969
926,8-Feb-13,Identity Thief,35.0,134.50692,175.361578,5.8,2230,2013,"Adventure,Comedy,Crime",Seth Gordon,140.361578
927,8-Jul-11,Horrible Bosses,35.0,117.538559,212.417601,6.5,3842,2011,"Comedy,Crime",Seth Gordon,177.417601
928,17-Jul-15,Trainwreck,35.0,110.2127,141.123897,5.8,1731,2015,"Comedy,Drama,Romance",Judd Apatow,106.123897
929,13-Dec-13,Saving Mr. Banks,35.0,83.299761,114.962525,7.4,2050,2013,"Biography,Comedy,Drama",John Lee Hancock,79.962525
930,30-Apr-10,A Nightmare on Elm Street,35.0,63.075011,117.729621,5.5,1408,2010,"Crime,Drama,Horror",Samuel Bayer,82.729621
931,9-Nov-84,A Nightmare on Elm Street,1.8,25.504513,25.504513,5.5,1408,2010,"Crime,Drama,Horror",Samuel Bayer,23.704513
932,8-Oct-10,Secretariat,35.0,59.699513,60.376247,7.0,200,2010,"Biography,Drama,Family",Randall Wallace,25.376247
933,22-Jul-11,Friends with Benefits,35.0,55.802754,146.595891,6.6,4637,2011,"Comedy,Romance",Will Gluck,111.595891
934,20-May-16,Neighbors 2: Sorority Rising,35.0,55.34073,108.757621,5.7,2829,2016,Comedy,Nicholas Stoller,73.757621
935,29-Jun-18,Sicario: Day of the Soldado,35.0,50.06585,75.885196,6.7,1317,2018,"Action,Crime,Drama",Stefano Sollima,40.88519599999999
936,22-May-15,Poltergeist,35.0,47.425125,95.713069,5.1,1438,2015,"Horror,Thriller",Gil Kenan,60.713069000000004
937,4-Jun-82,Poltergeist,10.7,74.706019,121.706019,5.1,1438,2015,"Horror,Thriller",Gil Kenan,111.006019
938,12-Oct-18,Goosebumps 2: Haunted Halloween,35.0,46.697321,93.291478,5.6,428,2018,"Adventure,Comedy,Family",Ari Sandel,58.291478
939,19-Jan-18,12 Strong,35.0,45.819713,71.118378,5.6,1312,2018,"Action,Drama,History",Nicolai Fuglsig,36.11837800000001
940,6-May-11,Something Borrowed,35.0,39.046489,65.084116,6.1,591,2011,"Comedy,Drama,Romance",Luke Greenfield,30.084115999999995
941,28-Oct-11,In Time,35.0,37.553932,165.103952,6.8,6245,2011,"Action,Crime,Drama",Andrew Niccol,130.103952
942,9-Nov-11,J. Edgar,35.0,37.30603,84.60603,6.2,1303,2011,"Biography,Crime,Drama",Clint Eastwood,49.606030000000004
943,17-Aug-18,Mile 22,35.0,36.108758,66.295121,6.0,920,2018,"Action,Adventure,Thriller",Peter Berg,31.295120999999995
944,8-May-15,Hot Pursuit,35.0,34.580201,45.671512,5.6,1000,2015,"Action,Comedy,Crime",Anne Fletcher,10.671512
945,25-Dec-15,Concussion,35.0,34.531832,50.36379,5.5,55,2013,Drama,Stacie Passon,15.363790000000002
951,13-Oct-17,The Foreigner,35.0,34.393507,140.78336,6.7,1086,2017,"Action,Thriller",Martin Campbell,105.78335999999999
954,1-Jun-18,Adrift,35.0,31.445011,57.897191,7.0,1,2015,Drama,Barbara Sundstrom,22.897191
960,6-Jan-17,Underworld: Blood Wars,35.0,30.353973,81.209222,5.5,2318,2016,"Action,Adventure,Fantasy",Anna Foerster,46.209222
961,23-Sep-11,Abduction,35.0,28.087155,86.648359,5.8,1791,2011,"Action,Mystery,Thriller",John Singleton,51.648359
963,19-Oct-12,Alex Cross,35.0,25.888412,35.426759,5.1,424,2012,"Action,Crime,Mystery",Rob Cohen,0.426758999999997
964,9-Nov-01,Heist,35.0,23.483357,28.906817,5.0,1,2015,"Action,Crime,Thriller",Scott Mann,-6.093183
966,13-Nov-15,Heist,8.9,0.050136,3.324131,5.0,1,2015,"Action,Crime,Thriller",Scott Mann,-5.575869000000001
